ID,Name,Longitude,Latitude
10009,Bt Merah Int,103.81722,1.2821
10011,Bef Neil Rd,103.8375,1.27774
10017,Aft Hosp Dr,103.83763,1.27832
10018,Outram Pk Stn Exit F/SGH,103.8386,1.27901
10021,Blk 3,103.83839,1.27745
10041,Bef Kampong Bahru Ter,103.83519,1.27606
10049,Opp Kampong Bahru Ter,103.83484,1.27623
10051,Blk 149,103.83214,1.27741
10059,Opp Blk 149,103.83275,1.2774
10061,Blk 140,103.82949,1.2786
10069,Opp Blk 140,103.83008,1.27855
10071,Blk 111,103.82639,1.28045
10079,Blk 201,103.82709,1.2804
10081,Opp Blk 120,103.82242,1.28228
10089,Blk 119,103.82166,1.28292
10091,Bt Merah Town Ctr,103.81784,1.28394
10099,Opp Bt Merah Town Ctr,103.81766,1.28421
10101,Opp Bt Merah Sec Sch,103.81378,1.28506
10109,Bt Merah Sec Sch,103.81371,1.28535
10111,Opp Blk 28,103.80935,1.28593
10119,Opp Pacific Tech Ctr,103.81123,1.28598
10121,Blk 126 CP,103.82891,1.2826
10129,Blk 121,103.82857,1.28232
10131,Opp Blk 2,103.80687,1.28619
10139,Blk 1,103.8081,1.28635
10141,Blk 18,103.83238,1.28584
10149,Blk 1,103.83283,1.28607
10151,Ctrl Green Condo,103.82853,1.28572
10161,Opp Tiong Bahru Stn,103.82669,1.28593
10169,Tiong Bahru Stn,103.82748,1.286
10171,Opp Tiong Bahru Pk,103.82346,1.28737
10179,Tiong Bahru Pk,103.82396,1.28722
10181,Bef Ar-Rabitah Mque,103.8211,1.2885
10189,Blk 104A CP,103.82183,1.28859
10191,Blk 78,103.81903,1.2886
10199,Delta Swim Cplx,103.81937,1.28876
10201,Opp Redhill Stn,103.81663,1.28928
10209,Redhill Stn,103.81673,1.28955
10211,Porsche Ctr S'pore,103.81144,1.29075
10219,Opp Motor Image,103.81191,1.2909
10221,Ganges Ctr,103.83112,1.29033
10229,Opp Harvest Mansions,103.83178,1.29052
10231,Blk 51 CP,103.82788,1.29042
10239,Blk 79,103.82865,1.29061
10241,Gan Eng Seng Sec Sch,103.82362,1.29062
10249,Opp Gan Eng Seng Sec Sch,103.82408,1.29088
10261,Delta Sports Hall,103.82047,1.2909
10269,Opp Delta Sports Hall,103.82058,1.29125
10271,Opp Tanglin View,103.81758,1.29116
10279,Tanglin View,103.81758,1.29151
