year,type,count
2004,bus_route_in_operation,260
2005,bus_route_in_operation,288
2006,bus_route_in_operation,302
2007,bus_route_in_operation,325
2008,bus_route_in_operation,344
2009,bus_route_in_operation,339
2010,bus_route_in_operation,342
2011,bus_route_in_operation,344
2012,bus_route_in_operation,348
2013,bus_route_in_operation,357
2004,ave_bus_fleet,3140
2005,ave_bus_fleet,3131
2006,ave_bus_fleet,3197
2007,ave_bus_fleet,3255
2008,ave_bus_fleet,3268
2009,ave_bus_fleet,3393
2010,ave_bus_fleet,3475
2011,ave_bus_fleet,3484
2012,ave_bus_fleet,3516
2013,ave_bus_fleet,3777
